id,category,question,event_title,volume,created_at,end_date
501190,Macro,Fed rate hike in 2024?,Fed rate hike in 2024?,1492300.328789,2024-04-25 17:01:22+00:00,2024-12-18 12:00:00+00:00
501198,Politics,Will Nikki Haley endorse Trump before June?,Will Nikki Haley endorse Trump before June?,122153.45488,2024-04-25 19:47:39+00:00,2024-05-31 12:00:00+00:00
501255,Politics,Labour wins a majority of seats in UK election? ,Labour wins a majority of seats in UK election? ,223616.749048,2024-04-30 14:38:29+00:00,2025-01-31 12:00:00+00:00
501258,Politics,Labour wins the most seats in next UK election? ,Which party wins the most seats after UK Election?,350274.033285,2024-04-30 15:52:00+00:00,2025-01-28 12:00:00+00:00
501259,Politics,Conservatives wins the most seats in next UK election? ,Which party wins the most seats after UK Election?,227754.108176,2024-04-30 15:52:00+00:00,2025-01-28 12:00:00+00:00
501260,Politics,Liberal Democrats wins the most seats in next UK election? ,Which party wins the most seats after UK Election?,209459.867616,2024-04-30 15:52:00+00:00,2025-01-28 12:00:00+00:00
501261,Politics,Reform wins the most seats in next UK election? ,Which party wins the most seats after UK Election?,452437.236075,2024-04-30 15:52:00+00:00,2025-01-28 12:00:00+00:00
501262,Politics,Other party wins the most seats in next UK election? ,Which party wins the most seats after UK Election?,523948.850175,2024-04-30 15:52:01+00:00,2025-01-28 12:00:00+00:00
501304,Macro,Fed decreases interest rates by 50+ bps after June 2024 meeting?,Fed Interest Rates: June 2024,571695.348357,2024-05-01 14:42:46+00:00,2024-06-12 12:00:00+00:00
501305,Macro,Fed decreases interest rates by 25 bps after June 2024 meeting?,Fed Interest Rates: June 2024,602846.108907,2024-05-01 14:43:49+00:00,2024-06-12 12:00:00+00:00
501306,Macro,No change in Fed interest rates after 2024 June meeting?,Fed Interest Rates: June 2024,530059.986699,2024-05-01 14:46:06+00:00,2024-06-12 12:00:00+00:00
501307,Macro,Fed increases interest rates by 25+ bps after June 2024 meeting?,Fed Interest Rates: June 2024,582731.685936,2024-05-01 14:47:54+00:00,2024-06-12 12:00:00+00:00
501476,Macro,Will CD&V win the most seats in the Belgian federal elections?,Belgian Election: Which party wins the most seats?,110146.107398,2024-05-07 19:59:53+00:00,2024-06-09 12:00:00+00:00
501482,Geopolitics,Zelensky remains President of Ukraine through September?,Zelensky remains President of Ukraine through September?,209495.323909,2024-05-07 22:10:04+00:00,2024-09-30 12:00:00+00:00
501485,Politics,Will RFK Jr. debate Biden/Trump?,Will RFK Jr. debate Biden/Trump?,530624.502266,2024-05-08 15:20:47+00:00,2024-11-04 12:00:00+00:00
501585,Politics,Will a Democrat win the popular vote and the Presidency? ,Who wins Presidency + Popular Vote?,14756382.198283,2024-05-14 15:49:07+00:00,2024-11-05 12:00:00+00:00
501588,Politics,Will a Republican win the popular vote and a Democrat win the Presidency?,Who wins Presidency + Popular Vote?,17751068.899255,2024-05-14 16:05:06+00:00,2024-11-05 12:00:00+00:00
501589,Politics,Will a Democrat win the popular vote and a Republican win the Presidency?,Who wins Presidency + Popular Vote?,18758441.931819,2024-05-14 16:10:31+00:00,2024-11-05 12:00:00+00:00
501626,Politics,Trump + Biden debate on June 27 as planned?,Trump + Biden debate on June 27 as planned?,134361.092926,2024-05-15 16:03:39+00:00,2024-06-27 12:00:00+00:00
501667,Geopolitics,Will Russia capture Chasiv Yar before October?,Will Russia capture Chasiv Yar before October?,137194.990136,2024-05-17 21:48:28+00:00,2024-09-30 12:00:00+00:00
501672,Politics,Biden takes drug test before Trump debate?,Biden takes drug test before Trump debate?,139520.116667,2024-05-18 03:18:52+00:00,2024-06-27 12:00:00+00:00
501677,Geopolitics,Netanyahu out by October 31?,Netanyahu out by October 31?,732531.832897,2024-05-18 19:32:10+00:00,2024-10-31 12:00:00+00:00
501679,Geopolitics,Will Iran President Raisi be found today?,Will Iran President Raisi be found today?,311736.373563,2024-05-19 16:16:44+00:00,2024-05-19 12:00:00+00:00
501694,Politics,Will Republicans have 49 or fewer seats in Senate after election?,# of Republican Senate seats after Election?,1537159.776966,2024-05-20 16:57:59+00:00,2024-11-05 12:00:00+00:00
501695,Politics,Will Republicans have 50 seats in Senate after election?,# of Republican Senate seats after Election?,321803.188168,2024-05-20 16:59:47+00:00,2024-11-05 12:00:00+00:00
501696,Politics,Will Republicans have 51 seats in Senate after election?,# of Republican Senate seats after Election?,271918.963629,2024-05-20 17:01:30+00:00,2024-11-05 12:00:00+00:00
501697,Politics,Will Republicans have 52 seats in Senate after election?,# of Republican Senate seats after Election?,760865.143349,2024-05-20 17:01:30+00:00,2024-11-05 12:00:00+00:00
501698,Politics,Will Republicans have 53 seats in Senate after election?,# of Republican Senate seats after Election?,1285723.48474,2024-05-20 17:01:30+00:00,2024-11-05 12:00:00+00:00
501699,Politics,Will Republicans have 54 seats in Senate after election?,# of Republican Senate seats after Election?,1046717.85044,2024-05-20 17:01:30+00:00,2024-11-05 12:00:00+00:00
501700,Politics,Will Republicans have 55 seats in Senate after election?,# of Republican Senate seats after Election?,4595290.400508,2024-05-20 17:01:30+00:00,2024-11-05 12:00:00+00:00
501701,Politics,Will Republicans have 56 or more seats in Senate after election?,# of Republican Senate seats after Election?,2267278.199233,2024-05-20 17:01:30+00:00,2024-11-05 12:00:00+00:00
501762,Politics,Will Rishi Sunak be next UK prime minister?,Next UK prime minister?,177517.850041,2024-05-22 16:18:51+00:00,2024-07-04 12:00:00+00:00
501763,Politics,Will Keir Starmer be next UK prime minister?,Next UK prime minister?,295470.708568,2024-05-22 16:18:52+00:00,2024-07-04 12:00:00+00:00
501764,Politics,Will Priti Patel be next UK prime minister?,Next UK prime minister?,168878.017164,2024-05-22 16:18:53+00:00,2024-07-04 12:00:00+00:00
501765,Politics,Will Penny Mordaunt be next UK prime minister?,Next UK prime minister?,174546.970666,2024-05-22 16:20:05+00:00,2024-07-04 12:00:00+00:00
501766,Politics,Will Grant Shapps be next UK prime minister?,Next UK prime minister?,187927.368827,2024-05-22 16:22:33+00:00,2024-07-04 12:00:00+00:00
501767,Politics,Will Robert Jenrick be next UK prime minister?,Next UK prime minister?,137462.771333,2024-05-22 16:26:03+00:00,2024-07-04 12:00:00+00:00
501768,Politics,Will Kemi Badenoch be next UK prime minister?,Next UK prime minister?,138971.315327,2024-05-22 16:28:51+00:00,2024-07-04 12:00:00+00:00
501769,Politics,Will Tom Tugendhat be next UK prime minister?,Next UK prime minister?,147509.116827,2024-05-22 16:30:01+00:00,2024-07-04 12:00:00+00:00
501770,Politics,Will Boris Johnson be next UK prime minister?,Next UK prime minister?,218153.837968,2024-05-22 16:34:20+00:00,2024-07-04 12:00:00+00:00
501771,Politics,Will James Cleverly be next UK prime minister?,Next UK prime minister?,204562.314493,2024-05-22 16:35:00+00:00,2024-07-04 12:00:00+00:00
501772,Politics,Will Suella Braverman be next UK prime minister?,Next UK prime minister?,237294.962826,2024-05-22 16:35:54+00:00,2024-07-04 12:00:00+00:00
501773,Politics,Will Jeremy Hunt be next UK prime minister?,Next UK prime minister?,176795.403542,2024-05-22 16:39:37+00:00,2024-07-04 12:00:00+00:00
501774,Politics,Will another person be next UK prime minister?,Next UK prime minister?,132572.789741,2024-05-22 16:41:08+00:00,2024-07-04 12:00:00+00:00
501776,Politics,Will Biden be on Ohio Presidential Ballot?,Will Biden be on Ohio Presidential Ballot?,126405.755937,2024-05-22 17:47:03+00:00,2024-11-05 12:00:00+00:00
501827,Geopolitics,Ceasefire between Russia and Ukraine before October?,Ceasefire between Russia and Ukraine before October?,315612.939817,2024-05-24 18:19:33+00:00,2024-09-30 12:00:00+00:00
501842,Politics,"Will Trump say ""mog"" in 2024?","Will Trump say ""mog"" in 2024?",252492.688881,2024-05-28 16:07:39+00:00,2024-12-31 12:00:00+00:00
501862,Geopolitics,Will Israel invade Lebanon before September?,Will Israel invade Lebanon before September?,1345780.163692,2024-05-29 15:38:10+00:00,2024-08-31 12:00:00+00:00
501863,Geopolitics,Israel x Hamas ceasefire before September?,Israel x Hamas ceasefire before September?,972382.169621,2024-05-29 15:48:45+00:00,2024-08-31 12:00:00+00:00
501872,Geopolitics,Israel military action against Iran by end of 2024?,Israel military action against Iran by end of 2024?,934236.515399,2024-05-29 16:47:41+00:00,2024-12-31 12:00:00+00:00
501929,Politics,Trump sentenced to prison in NY case before election?,Trump sentenced to prison in NY case before election?,711453.456405,2024-05-30 21:51:16+00:00,2024-11-05 12:00:00+00:00
501930,Politics,Trump conviction overturned before election?,Trump conviction overturned before election?,113246.98025,2024-05-30 21:58:03+00:00,2024-11-05 12:00:00+00:00
501934,Politics,Trump sentenced to probation?,Trump Hush Money sentence before election?,138756.702271,2024-05-31 02:57:36+00:00,2024-07-11 12:00:00+00:00
501938,Politics,Will Trump drop out of presidential race?,Will Trump drop out of presidential race?,3092283.210956,2024-05-31 03:36:16+00:00,2024-11-05 12:00:00+00:00
501958,Politics,Trump sentenced to no prison time?,Trump prison time in NY case before election?,1514093.113306,2024-05-31 16:12:59+00:00,2024-07-11 12:00:00+00:00
501959,Politics,Trump sentenced to between 0 and 11 months prison time?,Trump prison time in NY case before election?,1025534.895448,2024-05-31 16:15:00+00:00,2024-07-11 12:00:00+00:00
501960,Politics,Trump sentenced to between 12 and 23 months prison time?,Trump prison time in NY case before election?,3461448.079339,2024-05-31 16:19:15+00:00,2024-07-11 12:00:00+00:00
501961,Politics,Trump sentenced to between 24 and 35 months prison time?,Trump prison time in NY case before election?,2663689.67615,2024-05-31 16:19:45+00:00,2024-07-11 12:00:00+00:00
501962,Politics,Trump sentenced to between 36 and 47 months prison time?,Trump prison time in NY case before election?,768705.021148,2024-05-31 16:20:18+00:00,2024-07-11 12:00:00+00:00
501963,Politics,Trump sentenced to 48 or more months prison time?,Trump prison time in NY case before election?,684733.291912,2024-05-31 16:20:48+00:00,2024-07-11 12:00:00+00:00
502038,Politics,Will Joe pardon Hunter Biden?,Will Joe pardon Hunter Biden?,3401720.780293,2024-06-03 17:21:42+00:00,2025-01-20 12:00:00+00:00
502041,Politics,Will Nigel Farage win election to UK parliament?,Will Nigel Farage win election to UK parliament?,326337.441075,2024-06-03 18:05:45+00:00,2024-07-04 12:00:00+00:00
502046,Politics,Trump gets more black voters than in 2020?,Trump gets more black voters than in 2020?,888499.13331,2024-06-03 19:25:17+00:00,2024-11-05 12:00:00+00:00
502053,Politics,Trump and Biden shake hands at first debate?,Trump and Biden shake hands at first debate?,148600.317206,2024-06-03 21:22:37+00:00,2024-06-27 12:00:00+00:00
502113,Politics,Will Trump win Miami?,Will Trump win Miami?,304715.776799,2024-06-04 18:11:17+00:00,2024-11-05 12:00:00+00:00
502118,Politics,Trump ineligible to run for President?,Trump ineligible to run for President?,122727.36426,2024-06-04 21:23:30+00:00,2024-11-01 12:00:00+00:00
502120,Politics,Will Biden pardon Ross Ulbricht?,Who will Biden pardon?,1401484.693197,2024-06-05 00:26:16+00:00,2025-01-20 12:00:00+00:00
502121,Politics,Major challenger to Biden for Democratic nomination?,Major challenger to Biden for Democratic nomination?,102349.272265,2024-06-05 14:41:41+00:00,2024-09-01 12:00:00+00:00
502223,Politics,Biden drops out by July 4? ,Biden drops out by July 4? ,4490151.550265,2024-06-07 18:32:01+00:00,2024-07-04 12:00:00+00:00
502234,Politics,Trump conviction declared a mistrial?,Trump conviction declared a mistrial?,116266.209114,2024-06-07 21:42:45+00:00,2024-11-04 12:00:00+00:00
502235,Politics,Will Trump appeal his hush money conviction?,Will Trump appeal his hush money conviction?,458770.902875,2024-06-07 21:55:04+00:00,2024-11-04 12:00:00+00:00
502261,Geopolitics,Next Israel x Hamas ceasefire in September?,Next Israel x Hamas ceasefire in…?,100482.365226,2024-06-10 16:39:35+00:00,2024-09-30 12:00:00+00:00
502262,Geopolitics,Next Israel x Hamas ceasefire in October?,Next Israel x Hamas ceasefire in…?,122919.972816,2024-06-10 16:39:35+00:00,2024-10-31 12:00:00+00:00
502263,Geopolitics,Next Israel x Hamas ceasefire in November?,Next Israel x Hamas ceasefire in…?,136123.344651,2024-06-10 16:39:36+00:00,2024-11-30 12:00:00+00:00
502264,Geopolitics,Next Israel x Hamas ceasefire in December?,Next Israel x Hamas ceasefire in…?,432308.620376,2024-06-10 16:39:36+00:00,2024-12-31 12:00:00+00:00
502265,Geopolitics,No Israel x Hamas ceasefire in 2024?,Next Israel x Hamas ceasefire in…?,617817.708213,2024-06-10 16:39:37+00:00,2025-01-01 12:00:00+00:00
502267,Politics,Conservatives win the second most seats in next UK election? ,Which party wins second most seats in UK Election?,185828.817133,2024-06-10 18:44:00+00:00,2024-07-04 12:00:00+00:00
502269,Politics,Reform wins the second most seats in next UK election? ,Which party wins second most seats in UK Election?,185284.928663,2024-06-10 18:49:24+00:00,2024-07-04 12:00:00+00:00
502295,Politics,Will National Rally win the most seats in the National Assembly?,Which party wins the most seats in French Election?,522450.485068,2024-06-10 22:14:12+00:00,2024-07-07 12:00:00+00:00
502300,Politics,Will another party win the most seats in the National Assembly?,Which party wins the most seats in French Election?,137287.919482,2024-06-10 22:18:38+00:00,2024-07-07 12:00:00+00:00
502385,Macro,Fed decreases interest rates by 50+ bps after July 2024 meeting?,Fed Interest Rates: July 2024,637520.066414,2024-06-12 18:17:44+00:00,2024-07-31 12:00:00+00:00
502386,Macro,Fed decreases interest rates by 25 bps after July 2024 meeting?,Fed Interest Rates: July 2024,884827.576621,2024-06-12 18:29:25+00:00,2024-07-31 12:00:00+00:00
502387,Macro,No change in Fed interest rates after 2024 July meeting?,Fed Interest Rates: July 2024,517320.225807,2024-06-12 18:38:57+00:00,2024-07-31 12:00:00+00:00
502388,Macro,Fed increases interest rates by 25+ bps after July 2024 meeting?,Fed Interest Rates: July 2024,752276.198248,2024-06-12 18:38:57+00:00,2024-07-31 12:00:00+00:00
502430,Politics,Mike Johnson out as Speaker before Election?,Mike Johnson out as Speaker before Election?,104371.403856,2024-06-13 23:29:03+00:00,2024-11-04 12:00:00+00:00
502471,Politics,Will TRUMP reach $1b first?,First Trump Coin to $1b?,277606.838999,2024-06-14 18:42:59+00:00,2024-12-31 12:00:00+00:00
502472,Politics,Will TREMP reach $1b first?,First Trump Coin to $1b?,604862.234811,2024-06-14 18:52:00+00:00,2024-12-31 12:00:00+00:00
502474,Politics,Will another Trump coin be first to reach $1b?,First Trump Coin to $1b?,403927.692624,2024-06-14 19:33:16+00:00,2024-12-31 12:00:00+00:00
502547,Politics,Will Reform win 7+ seats in UK Election?,Will Reform win 7+ seats in UK Election?,564446.318634,2024-06-17 18:46:22+00:00,2024-06-04 12:00:00+00:00
502569,Politics,Will Trump launch a coin by Friday?,Will Trump launch a coin by Friday?,155429.137649,2024-06-17 22:39:47+00:00,2024-06-21 12:00:00+00:00
502571,Politics,Will Trump launch a coin before the election?,Will Trump launch a coin before the election?,76899060.598799,2024-06-17 23:34:44+00:00,2024-11-04 12:00:00+00:00
502591,Politics,Biden senile during the debate?,Biden senile during the debate?,550532.638703,2024-06-18 17:10:31+00:00,2024-06-27 12:00:00+00:00
502609,Politics,Did Barron Trump launch $DJT?,Did Barron Trump launch $DJT?,2075604.172577,2024-06-19 01:38:04+00:00,2024-06-23 12:00:00+00:00
502711,Politics,"Will Trump say ""Crypto"" or ""Bitcoin"" during the debate?",What will Trump say during the debate?,345299.03423,2024-06-20 22:07:01+00:00,2024-06-27 12:00:00+00:00
502712,Politics,Will the election be called on Nov 5? ,Will the election be called on Nov 5? ,156127.158527,2024-06-20 22:38:31+00:00,2024-11-05 12:00:00+00:00
502738,Politics,Will Mark Farrell win the San Francisco Mayoral Election?,Who will win San Francisco Mayor Election?,133122.497156,2024-06-21 16:31:24+00:00,2024-11-05 12:00:00+00:00
502739,Politics,Will Daniel Lurie win the San Francisco Mayoral Election?,Who will win San Francisco Mayor Election?,110209.536077,2024-06-21 16:31:56+00:00,2024-11-05 12:00:00+00:00
502740,Politics,Will Aaron Peskin win the San Francisco Mayoral Election?,Who will win San Francisco Mayor Election?,121947.833666,2024-06-21 16:32:24+00:00,2024-11-05 12:00:00+00:00
502741,Politics,Will Ahsha Safai win the San Francisco Mayoral Election?,Who will win San Francisco Mayor Election?,992452.22775,2024-06-21 16:32:46+00:00,2024-11-05 12:00:00+00:00
502742,Politics,Will another candidate win the San Francisco Mayoral Election?,Who will win San Francisco Mayor Election?,259139.932942,2024-06-21 16:33:51+00:00,2024-11-05 12:00:00+00:00
502798,Politics,Will RN/UXD win the most seats in the French election?,Which coalition wins most seats in French Election?,150481.388826,2024-06-24 15:56:44+00:00,2024-07-07 12:00:00+00:00
502799,Politics,Biden campaign accepts crypto donations before August?,Biden campaign accepts crypto donations before August?,336293.770823,2024-06-24 16:05:24+00:00,2024-07-31 12:00:00+00:00
502800,Macro,Will NFP win the most seats in the French election?,Which coalition wins most seats in French Election?,110153.398087,2024-06-24 16:07:37+00:00,2024-07-07 12:00:00+00:00
502949,Politics,Will Biden poop his pants during the debate?,Will Biden poop his pants during the debate?,203695.758759,2024-06-27 17:57:25+00:00,2024-06-27 12:00:00+00:00
502957,Politics,Biden drops out before the Democratic convention?,Biden drops out before the Democratic convention?,1549029.684074,2024-06-28 03:19:29+00:00,2024-08-19 12:00:00+00:00
502989,Politics,Will Hillary Clinton announce presidential run before DNC?,Democratic candidates announce run for president before DNC?,1156705.106996,2024-06-28 17:02:46+00:00,2024-08-31 12:00:00+00:00
502990,Politics,Will Gavin Newsom announce presidential run before DNC?,Democratic candidates announce run for president before DNC?,174581.734005,2024-06-28 17:07:37+00:00,2024-08-31 12:00:00+00:00
502991,Politics,Will Gretchen Whitmer announce presidential run before DNC?,Democratic candidates announce run for president before DNC?,113951.664341,2024-06-28 17:25:32+00:00,2024-08-31 12:00:00+00:00
502993,Politics,Will Barack Obama call on Biden to drop out?,Will Barack Obama call on Biden to drop out?,251664.719406,2024-06-28 17:35:51+00:00,2024-08-31 12:00:00+00:00
502995,Politics,Will Hillary Clinton call on Biden to drop out?,Who will call for Biden to drop out?,313450.753181,2024-06-28 17:39:14+00:00,2024-08-31 12:00:00+00:00
503000,Politics,Gretchen Whitmer Democratic Presidential Nominee?,Gretchen Whitmer Democratic Presidential Nominee?,188388.310735,2024-06-28 18:39:20+00:00,2024-08-29 12:00:00+00:00
503001,Politics,Trump x Biden golf announced before August?,Trump x Biden golf announced before August?,304305.94386,2024-06-28 18:54:44+00:00,2024-07-31 12:00:00+00:00
503011,Politics,Will Biden announce resignation by July 31?,Will Biden announce resignation by July 31?,11663215.117532,2024-06-28 20:09:49+00:00,2024-07-31 12:00:00+00:00
503013,Politics,Will Biden finish his term?,Will Biden finish his term?,64552171.3431552,2024-06-28 20:58:53+00:00,2025-01-20 12:00:00+00:00
503040,Politics,Will Trump be Speaker by August 1?,Will Trump be Speaker by August 1?,307328.012954,2024-07-01 15:32:51+00:00,2024-08-01 12:00:00+00:00
503041,Politics,Will Trump be president by September 1?,Will Trump be president by September 1?,326885.457886,2024-07-01 15:48:44+00:00,2024-09-01 12:00:00+00:00
503048,Politics,Biden nominated before Democratic convention?,Biden nominated before Democratic convention?,1413633.241534,2024-07-01 16:53:25+00:00,2024-08-19 12:00:00+00:00
503075,Politics,Biden nominated by July 21?,Biden nominated by July 21?,1170186.522162,2024-07-01 19:54:46+00:00,2024-07-21 12:00:00+00:00
503122,Politics,Biden court packing?,Biden court packing?,130640.496129,2024-07-02 17:15:26+00:00,2024-11-04 12:00:00+00:00
503131,Politics,Biden drops out by July 12?,Biden drops out by July 12?,2139767.076966,2024-07-02 18:24:02+00:00,2024-07-12 12:00:00+00:00
503172,Politics,Biden drops out by Friday? ,Biden drops out by Friday? ,222811.463353,2024-07-03 16:22:15+00:00,2024-07-05 12:00:00+00:00
503174,Politics,Will Kamala Harris be the 2024 Democratic VP nominee?,Democratic VP nominee?,4557220.691182,2024-07-03 16:54:43+00:00,2024-08-22 12:00:00+00:00
503175,Politics,Will Pete Buttigieg be the 2024 Democratic VP nominee?,Democratic VP nominee?,9023366.085835,2024-07-03 16:55:26+00:00,2024-08-22 12:00:00+00:00
503176,Politics,Will Gretchen Whitmer be the 2024 Democratic VP nominee?,Democratic VP nominee?,5769374.218984,2024-07-03 16:58:04+00:00,2024-08-22 12:00:00+00:00
503177,Politics,Will Tammy Duckworth be the 2024 Democratic VP nominee?,Democratic VP nominee?,1114009.625098,2024-07-03 17:11:39+00:00,2024-08-22 12:00:00+00:00
503178,Politics,Will Gavin Newsom be the 2024 Democratic VP nominee?,Democratic VP nominee?,4256455.563067,2024-07-03 17:11:39+00:00,2024-08-22 12:00:00+00:00
503180,Geopolitics,Will Raphael Warnock be the 2024 Democratic VP nominee?,Democratic VP nominee?,1798321.312408,2024-07-03 17:21:29+00:00,2024-08-22 12:00:00+00:00
503181,Politics,Will Michelle Obama be the 2024 Democratic VP nominee?,Democratic VP nominee?,6557745.539392,2024-07-03 17:22:08+00:00,2024-08-22 12:00:00+00:00
503182,Politics,Will Joe Biden be the 2024 Democratic VP nominee?,Democratic VP nominee?,1726224.101614,2024-07-03 17:22:54+00:00,2024-08-22 12:00:00+00:00
